pitch_type,game_date,release_speed,player_name,batter,pitcher,events,description,zone,game_type,stand,p_throws,home_team,away_team,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,estimated_woba_using_speedangle,woba_value,woba_denom,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,home_score_diff,bat_score_diff,home_win_exp
FF,2025-03-29,102.8,"Joyce, Ben",642136,690829,,foul,2,R,L,R,CWS,LAA,,0,0,-0.55,0.83,0.03897961484294199,3.02580944347344,,,,1,8,Bot,,,,,,104.5,2266,6.9,778534,,,,58,1,0,1,0,1,1,0,0,1,218,-0.007,-0.039,73.3,7.0,-1,-1,0.245
FF,2025-03-29,102.7,"Joyce, Ben",681460,690829,,ball,11,R,L,R,CWS,LAA,,1,2,-0.62,1.03,-0.8483084197743637,3.510958204863274,,572191,,2,8,Bot,,,,,,103.6,2472,6.6,778534,,,,60,9,0,1,0,1,1,0,0,1,218,0.016,0.012,,,-1,-1,0.236
FF,2025-03-29,102.7,"Joyce, Ben",681460,690829,,foul,4,R,L,R,CWS,LAA,,1,2,-0.84,0.98,-0.2778822472390742,2.376178950499864,,572191,,2,8,Bot,,,295,89.6,29,104.1,2391,6.9,778534,,,,60,7,0,1,0,1,1,0,0,1,215,0,0,67.5,6.3,-1,-1,0.236
SI,2025-03-29,102.4,"Martinez, Justin",807713,679885,,ball,11,R,R,R,AZ,CHC,,0,0,-1.33,0.35,-0.3960931506630756,3.8729197495319045,,,,1,9,Top,,,,,,102,2104,6.1,778532,,,,66,1,1,4,4,1,4,1,4,1,228,0,0.039,,,-3,3,0.038
FF,2025-03-30,102.3,"Joyce, Ben",672820,690829,,foul,9,R,R,R,CWS,LAA,,1,0,-1.25,1.03,0.48998343690645685,2.017626751479161,642136,678246,,2,7,Bot,,,105,89.8,6,103,2432,7,778527,,,,52,2,2,2,2,2,2,2,2,2,219,-0.007,-0.036,71.2,7.2,0,0,0.599
FF,2025-03-29,102.3,"Joyce, Ben",681460,690829,,foul,2,R,L,R,CWS,LAA,,1,2,-0.69,1.08,0.06523034854112175,2.8196710638882383,,572191,,2,8,Bot,,,222,80.5,40,102.9,2439,6.7,778534,,,,60,6,0,1,0,1,1,0,0,1,219,0,0,71.7,6.3,-1,-1,0.236
FF,2025-03-29,102.2,"Miller, Mason",641487,695243,,foul,12,R,L,R,SEA,ATH,,1,2,-0.95,1.15,0.018481656602468366,3.4555257994432753,,,,1,9,Bot,,,272,87.3,22,103.5,2604,6.9,778521,,,,74,5,2,4,2,4,4,2,2,4,217,0,0,48.3,4.7,-2,-2,0.037
FF,2025-03-30,102.2,"Martinez, Justin",683737,679885,strikeout,called_strike,5,R,L,R,AZ,CHC,,2,2,-0.99,1.15,-0.016332783916143012,2.2668176093529357,,,,1,8,Top,,,,,,101.2,2276,6,778515,0,0,1,65,5,2,6,6,2,6,2,6,2,231,0.002,-0.228,,,-4,4,0.04
FF,2025-03-30,102.2,"Martinez, Justin",691718,679885,strikeout,swinging_strike,2,R,L,R,AZ,CHC,,1,2,-1.12,1.17,-0.10064451345539438,3.3185423636003497,,621020,663538,2,8,Top,,,,,,101.9,2249,6.1,778515,0,0,1,68,4,2,6,6,2,6,2,6,2,227,0.005,-0.191,67.4,5.7,-4,4,0.039
SI,2025-03-30,102,"Martinez, Justin",663538,679885,,foul,1,R,R,R,AZ,CHC,,0,0,-1.52,0.79,-0.5933896969633068,2.834830807647256,,,621020,2,8,Top,,,184,66.8,48,101.9,2210,6.2,778515,,,,67,1,2,6,6,2,6,2,6,2,227,0.001,-0.042,,,-4,4,0.04
